islands,panel,seed,net_pct,sharpe,mdd_pct
20,set4,49,29.975722656360382,0.5003714267926038,30.974077909054547
20,set4,50,47.070613323963485,0.7512984114353521,23.423095710170983
20,set4,51,43.78417881226576,0.7261682046179107,23.07214927237067
30,set1,42,44.939129930747654,0.5711884539808577,33.399554073218454
30,set1,43,25.25704584602362,0.2793422666555882,48.016982764045906
30,set1,44,46.067784972033685,0.7076218465343718,22.80483050582988
30,set1,45,13.257755552689682,0.18788776777388377,29.90779315124022
30,set1,46,62.536218136298785,0.857887878433057,27.325913338308833
30,set1,47,43.171380374788335,0.5886249818604237,28.104613655746704
30,set1,48,41.79931964751346,0.5157889725077994,32.57519704723567
30,set1,49,8.073370636249344,0.11543358938941374,35.9144229345907
30,set1,50,8.593409392859398,0.10702102088247009,38.681121778571686
30,set1,51,43.00813033240506,0.5839187915491596,32.575535244446094
30,set2,42,83.5130414127674,1.2858916554277424,17.290935070295358
30,set2,43,74.95443541263374,1.1475957598921602,22.658886383407225
30,set2,44,74.61429984400436,1.1142191438433537,23.408436965720302
30,set2,45,78.46836298264508,1.12252442735299,17.830499258732534
30,set2,46,85.35241373382856,1.279580507277073,21.069705443426827
30,set2,47,93.91857732822264,1.390758780379086,21.026610975198484
30,set2,48,68.78134742686997,1.1871766465708207,17.8536718528627
30,set2,49,81.66042969933409,1.248280353760202,16.961608769136056
30,set2,50,75.44665133390768,1.1934613459240888,23.83563001440929
30,set2,51,68.43993369763149,1.1949547538526846,18.54996174346157
30,set3,42,21.57550926127276,0.2959938616814956,26.274476401802193
30,set3,43,31.161738322746157,0.4413164829222954,21.51235117895049
30,set3,44,41.81362563686358,0.5602360894360383,24.186763551536977
30,set3,45,50.861023940408145,0.709130757704421,21.830201428346697
30,set3,46,50.71730160345622,0.7244889883246542,22.795557343113007
30,set3,47,38.17967516115942,0.4908823985608313,26.102758007230303
30,set3,48,29.191172883187054,0.3607010161142994,28.605707878402463
30,set3,49,36.068408643379044,0.4871375919557218,21.895504424425365
30,set3,50,42.84266751306768,0.6278617920410812,25.408614596919904
30,set3,51,40.51708982759664,0.5426923469420667,25.278795137236017
30,set4,42,47.9617484082889,0.7514840886197017,19.640073704037764
30,set4,43,36.44092352502563,0.5234926665884022,22.21088699668158
30,set4,44,37.059041026928305,0.555454815477309,18.350326556723914
30,set4,45,49.43437614961719,0.7822552934924492,19.36283332570744
30,set4,46,15.676914919880103,0.23310220320657135,22.994968972782836
30,set4,47,19.39877100204075,0.3429180189664052,23.254483234746406
30,set4,48,59.26098706104877,0.858866471392518,19.059336074372606
30,set4,49,39.224970661563155,0.6011461885365498,18.670322115325096
30,set4,50,60.510403432268035,0.912569568447,21.699339347578235
30,set4,51,50.658198412115084,0.7911328131410245,20.71643049675847
40,set1,42,50.202393455523406,0.7104276079661573,25.83278323093532
40,set1,43,28.032889393150327,0.37476632060569465,31.918832148229647
40,set1,44,24.49517584109379,0.3282618437821003,30.976780650695897
40,set1,45,28.559527339997683,0.430010173094305,28.674875998493455
40,set1,46,31.25186660266864,0.46788428214863936,27.647693809004693
40,set1,47,31.17373803284545,0.43935528791298767,30.321135504930872
